Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
0,50,50,100,50,1464.4666666666667,0.06828424454864114,100.0
0,50,50,100,50,1653.2,0.06048874909266876,100.0
0,50,50,100,50,1177.1,0.08495454931611589,100.0
0,50,50,100,50,721.9333333333333,0.13851694523963431,100.0
0,50,50,100,50,1659.3333333333333,0.060265166733627966,100.0
0,50,50,100,50,819.9,0.12196609342602757,100.0
0,50,50,100,50,948.5333333333333,0.10542592071970762,100.0
0,50,50,100,50,1460.1333333333334,0.0684868961738654,100.0
0,50,50,100,50,1427.9666666666667,0.07002964588342399,100.0
0,50,50,100,50,777.5666666666667,0.12860633600548718,100.0
0,50,50,100,50,687.8,0.14539110206455366,100.0
0,50,50,100,50,728.9,0.13719303059404583,100.0
0,50,50,100,50,813.9666666666667,0.1228551537737008,100.0
0,50,50,100,50,1245.3666666666666,0.08029763657289687,100.0
0,50,50,100,50,1252.7666666666667,0.07982332437538249,100.0
0,50,50,100,50,962.3666666666667,0.10391049842402411,100.0
0,50,50,100,50,859.8333333333334,0.11630160883892227,100.0
0,50,50,100,50,1049.4666666666667,0.09528649472748062,100.0
0,50,50,100,50,487.8666666666667,0.20497403662202787,100.0
0,50,50,100,50,536.9666666666667,0.18623129927369791,100.0
