Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
0,20,50,100,50,2724.866666666667,0.03669904337826927,100.0
0,20,50,100,50,1210.2,0.08263097008758882,100.0
0,20,50,100,50,1071.3333333333333,0.09334163036714375,100.0
0,20,50,100,50,1291.1666666666667,0.0774493352265393,100.0
0,20,50,100,50,2119.9,0.04717203641681211,100.0
0,20,50,100,50,2031.7,0.04921986513756952,100.0
0,20,50,100,50,1164.3666666666666,0.08588359909535943,100.0
0,20,50,100,50,823.9,0.12137395314965409,100.0
0,20,50,100,50,1383.5333333333333,0.07227870669300825,100.0
0,20,50,100,50,799.3333333333334,0.12510425354462051,100.0
0,20,50,100,50,1345.6666666666667,0.07431260837255388,100.0
0,20,50,100,50,1776.5333333333333,0.056289402581807264,100.0
0,20,50,100,50,600.8666666666667,0.16642627316098968,100.0
0,20,50,100,50,1157.8333333333333,0.08636821649632935,100.0
0,20,50,100,50,1263.2,0.07916402786573781,100.0
0,20,50,100,50,2124.8,0.04706325301204819,100.0
0,20,50,100,50,1908.7666666666667,0.052389850339660864,100.0
0,20,50,100,50,1323.9,0.07553440592189742,100.0
0,20,50,100,50,1218.0666666666666,0.08209731268129823,100.0
0,20,50,100,50,1120.6333333333334,0.08923525387429726,100.0
