Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
0,0,50,100,50,1190.9666666666667,0.08396540625262391,100.0
0,0,50,100,50,905.2333333333333,0.11046875575358103,100.0
0,0,50,100,50,868.2666666666667,0.11517199017199017,100.0
0,0,50,100,50,1415.9,0.07062645667066883,100.0
0,0,50,100,50,722.0333333333333,0.1384977609528646,100.0
0,0,50,100,50,1359.1666666666667,0.07357449417535254,100.0
0,0,50,100,50,873.8,0.11444266422522317,100.0
0,0,50,100,50,1512.4,0.06612007405448293,100.0
0,0,50,100,50,1388.1,0.07204091924212953,100.0
0,0,50,100,50,1334.7333333333333,0.07492133260076919,100.0
0,0,50,100,50,898.0,0.111358574610245,100.0
0,0,50,100,50,939.8666666666667,0.10639807064831891,100.0
0,0,50,100,50,1788.2333333333333,0.055921113948589854,100.0
0,0,50,100,50,773.0333333333333,0.1293605277909534,100.0
0,0,50,100,50,1232.9,0.08110957904128477,100.0
0,0,50,100,50,2217.2,0.04510193036261952,100.0
0,0,50,100,50,649.4333333333333,0.15398039316327056,100.0
0,0,50,100,50,763.2333333333333,0.13102153120496135,100.0
0,0,50,100,50,1634.6666666666667,0.061174551386623165,100.0
0,0,50,100,50,1269.5666666666666,0.07876703337096648,100.0
