Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
0,100,50,100,50,1316.9666666666667,0.0759320661115189,100.0
0,100,50,100,50,1672.4666666666667,0.05979192410411767,100.0
0,100,50,100,50,755.1,0.13243279035889285,100.0
0,100,50,100,50,734.2666666666667,0.13619030325040857,100.0
0,100,50,100,50,1223.5,0.08173273395995095,100.0
0,100,50,100,50,1662.3666666666666,0.06015520041707606,100.0
0,100,50,100,50,1588.6,0.06294850812035756,100.0
0,100,50,100,50,1185.0333333333333,0.0843858119321538,100.0
0,100,50,100,50,933.1666666666666,0.10716199321307376,100.0
0,100,50,100,50,1672.8,0.059780009564801534,100.0
0,100,50,100,50,857.2,0.11665888940737283,100.0
0,100,50,100,50,883.5666666666667,0.11317765118647903,100.0
0,100,50,100,50,1023.9333333333333,0.09766260824272414,100.0
0,100,50,100,50,1104.5,0.09053870529651425,100.0
0,100,50,100,50,2318.2,0.04313691657320335,100.0
0,100,50,100,50,1404.7666666666667,0.0711861993688157,100.0
0,100,50,100,50,1097.5666666666666,0.09111063868557719,100.0
0,100,50,100,50,776.8333333333334,0.12872774082814845,100.0
0,100,50,100,50,1092.6333333333334,0.091522011043656,100.0
0,100,50,100,50,964.5,0.10368066355624676,100.0
